ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 2122;python3.9;unicodeobject.c:15425-15428;PyUnicode_Format;Innermost;0;0;0.01;1.00;1.00;5.60;1.40;1;0.00;8.85;1.40;1.40;1.40;0.25;1.00
Loop 1765;python3.9;unicodeobject.c:10966-10978,unicodeobject.c:10987-10987,string3.h:52-52;replace;Innermost;0;0;0.01;1.00;1.00;11.32;1.40;2;0.00;12.14;7.00;7.00;7.00;0.62;5.00
Loop 1394;python3.9;typeobject.c:1153-1154,typeobject.c:1318-1321;subtype_dealloc;Outermost;0;0;0.01;1.00;1.00;11.79;1.87;7;0.00;11.46;2.80;2.80;2.80;0.24;1.50
Loop 1332;python3.9;object.c:745-749,object.h:408-408,object.h:422-422,object.h:430-430,dictobject.c:341-346,dictobject.c:789-800,dictobject.c:809-810,dictobject.c:821-822;dict_subscript;Innermost;0;0;0.01;1.00;1.00;9.14;2.67;1;0.00;12.30;16.00;16.00;16.00;1.75;6.00
Loop 1052;python3.9;ceval.c:1898-1898,ceval.c:3751-3756,ceval.c:3759-3760,object.h:422-422,object.h:496-496;_PyEval_EvalFrameDefault;InBetween;0;0;0.01;1.00;1.00;13.11;2.49;14;0.00;10.83;11.20;11.20;11.20;0.85;4.50
Loop 2396;python3.9;pycore_pystate.h:55-55,tupleobject.c:968-970,gcmodule.c:256-262,gcmodule.c:2350-2357,obmalloc.c:709-709,obmalloc.c:1420-1422,obmalloc.c:1679-1686,obmalloc.c:1692-1708,obmalloc.c:1715-1719,obmalloc.c:1738-1738,obmalloc.c:1749-1749,obmalloc.c:1756-1756,obmalloc.c:1762-1762,obmalloc.c:1768-1780,obmalloc.c:1786-1793,obmalloc.c:1807-1811,obmalloc.c:1825-1842,obmalloc.c:1865-1865,obmalloc.c:1878-1883,obmalloc.c:1891-1891,obmalloc.c:1897-1897;_PyTuple_ClearFreeList;Innermost;0;0;0.01;2.80;1.00;7.21;2.80;472;3.13;11.91;32.20;11.50;32.20;4.47;11.50
Loop 1901;python3.9;object.c:775-779,setobject.c:60-62,setobject.c:303-303,setobject.c:351-351,setobject.c:2310-2310;PySet_Contains;Outermost;0;0;0.01;1.00;1.00;12.12;2.24;1;0.00;11.61;5.60;5.60;5.60;0.46;2.50
Loop 1641;python3.9;typeobject.c:1432-1433;object_isinstance;Single;0;0;0.01;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 1530;python3.9;bltinmodule.c:1625-1637,bltinmodule.c:1646-1646,object.c:745-748,abstract.c:2702-2703,object.h:408-408,object.h:422-422,object.h:430-430;min_max;Innermost;0;0;0.01;1.00;1.00;12.91;2.15;8;0.00;12.05;11.80;11.80;11.80;0.91;5.50
Loop 1405;python3.9;setobject.c:124-125,setobject.c:152-153;PySet_Add;Innermost;0;0;0.01;1.00;1.00;8.00;3.75;1;0.00;12.50;3.75;3.75;3.75;0.47;1.00
Loop 1186;python3.9;typeobject.c:1432-1433;getset_get;Single;0;0;0.01;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 990;python3.9;eq.h:23-23,object.c:2205-2205,object.c:2209-2210,object.h:422-422,object.h:430-430,dictobject.c:344-350,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:377-377,dictobject.c:382-382,dictobject.c:393-393,dictobject.c:730-732,dictobject.c:736-736,dictobject.c:739-739,dictobject.c:742-743,dictobject.c:858-859,dictobject.c:1605-1605,dictobject.c:1608-1614,dictobject.c:1655-1655,dictobject.c:1661-1662,dictobject.c:1665-1665,dictobject.c:1669-1670;_PyDict_DelItem_KnownHash;InBetween;0;0;0.01;2.57;1.00;12.80;2.57;1;4.17;12.40;37.20;14.50;37.20;2.91;14.50
Loop 910;python3.9;gcmodule.c:81-81,gcmodule.c:117-117,gcmodule.c:449-449,listobject.c:2624-2625,typeobject.c:3764-3764,pycore_object.h:112-114;list_traverse;Innermost;0;0;0.01;1.00;1.00;29.14;1.39;3;0.00;10.25;4.40;4.40;4.40;0.15;3.17
Loop 866;python3.9;dictobject.c:344-346,dictobject.c:893-906;_PyDict_GetItemId;Innermost;0;0;0.01;1.00;1.00;8.00;1.75;1;0.00;12.50;3.50;3.50;3.50;0.44;2.00
Loop 832;python3.9;dictobject.c:344-346,dictobject.c:935-951;lookdict_split;Innermost;0;0;0.01;1.00;1.00;8.00;2.64;1;0.00;12.50;6.60;6.60;6.60;0.82;2.50
Loop 3637;python3.9;fastsearch.h:217-221,fastsearch.h:224-224,fastsearch.h:235-235,fastsearch.h:238-238,fastsearch.h:241-242;PyUnicode_Partition;Outermost;0;0;0.01;1.00;1.00;14.34;2.24;6;0.00;10.63;5.60;5.60;5.60;0.39;2.50
Loop 3464;python3.9;setobject.c:301-302,setobject.c:454-455,setobject.c:1209-1209,setobject.c:1217-1218,object.h:408-408,object.h:422-422,object.h:430-430;set_intersection;Outermost;0;0;0.01;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
Loop 3192;python3.9;_abc.c:815-816,object.h:422-422;_abc__abc_subclasscheck;Single;0;0;0.01;1.00;1.00;8.00;1.60;1;0.00;12.50;1.60;1.60;1.60;0.20;1.00
Loop 3109;python3.9;listobject.c:282-283;ins1;Single;0;0;0.01;1.00;1.00;4.00;1.00;1;100.00;25.00;1.00;1.00;1.00;0.25;1.00
Loop 2415;python3.9;pycore_pystate.h:55-55,bltinmodule.c:394-394,bltinmodule.c:398-400,bltinmodule.c:404-405,obmalloc.c:1439-1439,abstract.c:2702-2703,object.h:408-408,object.h:422-422,object.h:430-430,itertoolsmodule.c:492-492,itertoolsmodule.c:498-498,itertoolsmodule.c:502-508,itertoolsmodule.c:694-699;builtin_any;InBetween;0;0;0.01;1.00;1.00;10.86;3.80;1;0.00;10.05;19.00;19.00;19.00;1.75;5.00
Loop 2111;python3.9;unicodeobject.c:1402-1402,unicodeobject.c:1439-1439,unicodeobject.c:1444-1445,unicodeobject.c:1451-1452,unicodeobject.c:1463-1465,unicodeobject.c:1471-1472,pycore_pystate.h:55-55,objimpl.h:69-69,object.c:1824-1824,object.c:2205-2205,object.c:2209-2209,obmalloc.c:99-99,obmalloc.c:572-572,obmalloc.c:680-680,obmalloc.c:685-685,obmalloc.c:1434-1438,obmalloc.c:1445-1447,obmalloc.c:1604-1604,obmalloc.c:1608-1609,obmalloc.c:1612-1612,obmalloc.c:1617-1618,obmalloc.c:1621-1621,obmalloc.c:1630-1630,obmalloc.c:1641-1641,obmalloc.c:1646-1647,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-409,object.h:422-422,object.h:430-430,longobject.c:1711-1711,longobject.c:1721-1721,longobject.c:1769-1769,longobject.c:1775-1775,longobject.c:1791-1792,longobject.c:1795-1808,longobject.c:1813-1814,longobject.c:1818-1822,longobject.c:1829-1829,longobject.c:1833-1833,longobject.c:1876-1878,longobject.c:1881-1887,longobject.c:1898-1902,longobject.c:1906-1909;long_to_decimal_string_internal;Outermost;0;0;0.01;2.72;1.00;21.05;2.72;1;0.00;10.36;98.00;36.00;98.00;4.66;36.00
Loop 1511;python3.9;longobject.c:545-548;PyLong_AsLong;Single;0;0;0.01;1.00;1.00;14.77;1.00;1;0.00;9.38;4.00;4.00;4.00;0.27;4.00
Loop 1496;python3.9;pycore_pystate.h:55-55,tupleobject.c:88-88,tupleobject.c:92-93,tupleobject.c:424-428,descrobject.c:290-290,descrobject.c:293-293,descrobject.c:311-311,descrobject.c:315-315,descrobject.c:318-319,object.c:2205-2205,object.c:2209-2209,object.h:408-408,object.h:422-422,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,pycore_object.h:39-39,pycore_object.h:46-51;method_vectorcall_VARARGS;InBetween;0;0;0.01;2.86;1.00;10.82;2.86;1;3.70;11.81;18.60;6.50;18.60;1.72;6.50
Loop 1382;python3.9;abstract.c:862-864,abstract.c:869-870,abstract.c:874-876,abstract.c:881-881,object.h:422-422;binary_op1;InBetween;0;0;0.01;1.00;1.00;8.00;2.06;1;0.00;12.50;7.20;7.20;7.20;0.90;3.50
Loop 1371;python3.9;abstract.c:861-861,abstract.c:874-874,abstract.c:1174-1174,abstract.c:1178-1182,object.h:422-422;PyNumber_InPlaceAdd;InBetween;0;0;0.01;1.00;1.00;8.00;1.40;1;0.00;12.50;3.50;3.50;3.50;0.44;2.50
Loop 1011;python3.9;object.h:408-408,dictobject.c:686-691;PyDict_Copy;Single;0;0;0.01;1.00;1.00;8.00;1.70;2;0.00;12.50;1.70;1.70;1.70;0.21;1.00
Loop 996;python3.9;dictobject.c:2534-2545;dict_merge;Innermost;0;0;0.01;1.00;1.00;8.00;2.00;1;0.00;12.50;3.00;3.00;3.00;0.38;1.50
Loop 989;python3.9;eq.h:17-21,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:849-857,dictobject.c:863-864;_PyDict_DelItem_KnownHash;Innermost;0;0;0.01;1.00;1.00;11.91;1.33;1;0.00;11.61;8.00;8.00;8.00;0.67;6.00
Loop 912;python3.9;tupleobject.c:623-624,pycore_object.h:112-113;tupletraverse;Innermost;0;0;0.01;1.00;1.00;8.00;1.07;1;0.00;12.50;1.60;1.60;1.60;0.20;1.50
Loop 881;python3.9;gcmodule.c:655-655,gcmodule.c:672-679;collect;Single;0;0;0.01;1.00;1.00;8.00;1.00;1;0.00;12.50;4.00;4.00;4.00;0.50;4.00
Loop 875;python3.9;dictobject.c:341-344,dictobject.c:821-822;lookdict;Innermost;0;0;0.01;1.00;1.00;8.00;2.92;1;0.00;12.50;1.75;1.75;1.75;0.22;0.60
Loop 869;python3.9;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:890-906;PyDict_GetItem;Single;0;0;0.01;1.00;1.00;12.51;2.00;21;0.00;10.65;14.00;14.00;14.00;1.12;7.00
Loop 773;python3.9;codecs.h:94-94,unicodeobject.c:2143-2143,unicodeobject.c:5102-5102,unicodeobject.c:5161-5166,unicodeobject.c:5169-5173,object.h:422-422,object.h:430-430,object.h:496-496;unicode_decode_utf8;Outermost;0;0;0.01;1.00;1.00;12.51;2.20;1;0.00;12.05;11.00;11.00;11.00;0.88;5.00
Loop 3680;python3.9;formatter_unicode.c:1041-1041,formatter_unicode.c:1085-1111,formatter_unicode.c:1117-1119,formatter_unicode.c:1125-1125,formatter_unicode.c:1133-1136,formatter_unicode.c:1142-1154,formatter_unicode.c:1161-1163,object.h:422-422,object.h:430-430;format_float_internal;Single;0;0;0.01;1.00;1.00;33.51;3.18;1;0.00;9.81;30.20;30.20;30.20;0.90;9.50
Loop 3508;python3.9;bytes_methods.c:321-322;_Py_bytes_upper;Single;0;0;0.01;1.00;1.00;8.00;1.20;1;0.00;12.50;1.20;1.20;1.20;0.15;1.00
Loop 3485;python3.9;_sre.c:2356-2359;pattern_new_match;Single;0;0;0.01;5.42;1.00;2.30;5.42;3;28.61;16.08;8.13;1.50;8.13;3.54;1.50
Loop 3463;python3.9;setobject.c:456-458;set_intersection;Innermost;0;0;0.01;1.00;1.00;8.00;1.40;2;0.00;12.50;1.75;1.75;1.75;0.22;1.25
Loop 3105;python3.9;tupleobject.c:503-506,object.h:408-408;tupleconcat;Single;0;0;0.01;1.00;1.00;6.40;1.60;1;0.00;12.50;1.60;1.60;1.60;0.25;1.00
Loop 2707;python3.9;genobject.c:158-158,pycore_pystate.h:55-55,bltinmodule.c:1372-1372,bltinmodule.c:1385-1400,object.h:408-408;builtin_next;Single;0;0;0.01;1.00;1.00;15.06;2.67;1;0.00;11.61;8.00;8.00;8.00;0.53;3.00
Loop 2662;python3.9;typeobject.c:2157-2158,typeobject.c:2188-2188;subtype_dict;Single;0;0;0.01;1.00;1.00;8.00;1.00;2;0.00;12.50;3.00;3.00;3.00;0.38;3.00
Loop 2506;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,abstract.h:73-74,abstract.h:114-118,string3.h:52-52,pycore_pyerrors.h:14-14,call.c:38-39,call.c:53-57,call.c:359-367,call.c:380-388,call.c:396-396,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1478-1482,typeobject.c:1489-1490,typeobject.c:1515-1515,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,typeobject.c:6858-6858,typeobject.c:6864-6868,pycore_object.h:105-105;slot_tp_richcompare;Single;0;0;0.01;2.70;1.00;17.31;2.70;1;12.70;12.18;47.20;17.50;47.20;2.73;17.50
Loop 2355;python3.9;longobject.c:400-400;builtin_id;Single;0;0;0.01;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 2211;python3.9;dictobject.c:3643-3645,dictobject.c:3684-3684;dictiter_iternextkey;Single;0;0;0.01;1.00;1.00;16.00;3.00;1;0.00;8.33;3.00;3.00;3.00;0.19;1.00
Loop 1977;python3.9;pycore_pystate.h:55-55,objimpl.h:69-69,object.c:1824-1824,object.c:2205-2205,object.c:2209-2209,obmalloc.c:572-572,obmalloc.c:685-685,obmalloc.c:1646-1647,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-408,object.h:422-422,longobject.c:49-49,longobject.c:57-59,longobject.c:116-116,longobject.c:119-122,longobject.c:3214-3214,longobject.c:3217-3226,longobject.c:3229-3230,longobject.c:3233-3233;x_sub;Outermost;0;0;0.01;1.00;1.00;25.80;2.32;1;0.00;10.05;52.20;52.20;52.20;2.02;22.50
Loop 1904;python3.9;errors.c:41-46,errors.c:55-61,errors.c:186-187,errors.c:244-244,object.c:2205-2209,object.h:408-408,object.h:422-422,object.h:430-430,object.h:487-487,object.h:496-496,object.h:628-628;PyErr_SetString;Single;0;0;0.01;2.00;1.00;12.49;2.00;1;4.76;12.57;16.00;8.00;16.00;1.28;8.00
Loop 1847;python3.9;abstract.h:188-189,pycore_pyerrors.h:14-14,call.c:38-39,call.c:53-57,call.c:380-383,call.c:394-396;PyObject_CallOneArg.lto_priv.7;Single;0;0;0.01;1.00;1.00;13.45;4.00;1;0.00;10.23;8.00;8.00;8.00;0.59;2.00
Loop 1783;python3.9;pycore_pystate.h:55-55,tupleobject.c:88-88,tupleobject.c:92-93,tupleobject.c:424-428,gcmodule.c:1394-1396,gcmodule.c:1401-1401,gcmodule.c:1442-1442,gcmodule.c:2256-2257,gcmodule.c:2260-2260,gcmodule.c:2269-2269,gcmodule.c:2274-2280,gcmodule.c:2283-2287,objimpl.h:69-69,objimpl.h:84-84,object.c:1824-1824,obmalloc.c:99-99,obmalloc.c:572-572,obmalloc.c:680-680,obmalloc.c:685-685,obmalloc.c:1434-1439,obmalloc.c:1445-1447,obmalloc.c:1604-1604,obmalloc.c:1608-1609,obmalloc.c:1612-1612,obmalloc.c:1617-1618,obmalloc.c:1621-1621,obmalloc.c:1630-1630,obmalloc.c:1641-1641,obmalloc.c:1646-1647,string3.h:85-85,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-408,object.h:422-422,object.h:430-430,object.h:628-628,typeobject.c:1045-1045,typeobject.c:1048-1048,typeobject.c:1052-1052,typeobject.c:1055-1055,typeobject.c:1061-1061,typeobject.c:1068-1068,typeobject.c:3862-3863,typeobject.c:3890-3890,typeobject.c:3893-3896,typeobject.c:3902-3902,typeobject.c:3912-3919,typeobject.c:3923-3924,typeobject.c:3928-3929,typeobject.c:3933-3933,typeobject.c:3936-3936,typeobject.c:3945-3945,typeobject.c:6205-6205,typeobject.c:6254-6254,typeobject.c:6257-6257,pycore_object.h:39-39,pycore_object.h:46-51;tp_new_wrapper;Outermost;0;0;0.01;2.89;1.00;15.78;2.89;1;5.00;11.68;67.80;23.50;67.80;4.30;23.50
Loop 1782;python3.9;unicodeobject.c:2306-2316,object.c:850-850,object.c:881-883,object.c:889-890,object.c:1280-1280,string3.h:52-52,call.c:471-477,call.c:484-495,object.h:422-422,typeobject.c:6997-6997,typeobject.c:7004-7004;slot_tp_new;Single;0;0;0.01;1.00;1.00;18.54;3.48;1;0.00;11.83;22.60;22.60;22.60;1.22;6.50
Loop 1714;python3.9;tokenizer.c:844-849,tokenizer.c:1021-1021;tok_nextc;Single;0;0;0.01;2.20;1.00;7.41;4.40;1;10.00;12.50;4.40;2.00;4.40;0.59;1.00
Loop 1576;python3.9;pycore_pystate.h:55-55,gcmodule.c:1394-1396,gcmodule.c:1401-1401,gcmodule.c:1442-1442,gcmodule.c:2278-2280,gcmodule.c:2283-2287,objimpl.h:69-69,objimpl.h:84-84,object.c:1824-1824,string3.h:85-85,setobject.c:948-957,setobject.c:2000-2000,setobject.c:2013-2013,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1061-1061,typeobject.c:1068-1068,pycore_object.h:39-39,pycore_object.h:46-51;set_vectorcall;Outermost;0;0;0.01;2.77;1.00;9.78;2.77;1;16.67;11.72;19.40;7.00;19.40;1.98;7.00
Loop 1459;python3.9;abstract.c:886-886,abstract.c:1020-1023,object.h:422-422;PyNumber_Add;Outermost;0;0;0.01;1.00;1.00;8.00;2.80;1;0.00;12.50;7.00;7.00;7.00;0.88;2.50
Loop 1412;python3.9;setobject.c:793-795,setobject.c:817-817;setiter_iternext;Single;0;0;0.01;1.00;1.00;16.00;3.00;1;0.00;8.33;3.00;3.00;3.00;0.19;1.00
Loop 1381;python3.9;abstract.c:880-880,object.h:408-408,object.h:422-422;binary_op1;Outermost;0;0;0.01;1.00;1.00;8.00;2.50;1;0.00;12.50;2.00;2.00;2.00;0.25;0.80
Loop 1370;python3.9;abstract.c:853-858,abstract.c:861-864,abstract.c:869-870,abstract.c:874-876,abstract.c:1118-1119,abstract.c:1187-1187,object.h:128-128,object.h:422-422,typeobject.c:1425-1426,typeobject.c:1431-1433;PyNumber_InPlaceAdd;InBetween;0;0;0.01;1.00;1.00;12.09;1.39;1;0.00;12.29;16.00;16.00;16.00;1.32;11.50
Loop 1352;python3.9;object.h:422-422,object.h:430-430,longobject.c:525-525,longobject.c:549-549,longobject.c:559-559,longobject.c:568-572;PyLong_AsLongAndOverflow;Single;0;0;0.01;1.00;1.00;13.87;1.73;1;0.00;8.75;5.20;5.20;5.20;0.38;3.00
Loop 1342;python3.9;classobject.c:90-90,abstract.h:116-116;method_vectorcall;Single;0;0;0.01;1.00;1.00;16.00;3.00;1;0.00;9.38;3.00;3.00;3.00;0.19;1.00
Loop 1311;python3.9;descrobject.c:1566-1566,descrobject.c:1576-1576,object.h:408-408;property_descr_get;Single;0;0;0.01;1.00;1.00;8.00;2.75;1;0.00;12.50;2.20;2.20;2.20;0.28;0.80
Loop 1299;python3.9;pycore_pystate.h:55-55,gcmodule.c:256-262,gcmodule.c:2355-2357,exceptions.c:90-90,obmalloc.c:127-127,obmalloc.c:595-595,obmalloc.c:709-709,obmalloc.c:1420-1422,obmalloc.c:1679-1686,obmalloc.c:1692-1708,obmalloc.c:1715-1719,obmalloc.c:1738-1738,obmalloc.c:1749-1749,obmalloc.c:1756-1756,obmalloc.c:1762-1762,obmalloc.c:1768-1780,obmalloc.c:1786-1793,obmalloc.c:1807-1811,obmalloc.c:1825-1842,obmalloc.c:1865-1865,obmalloc.c:1878-1883,obmalloc.c:1897-1897,obmalloc.c:1923-1923;BaseException_dealloc;Single;0;0;0.01;3.03;1.00;7.63;3.03;1;3.17;11.81;34.80;11.50;34.80;4.56;11.50
Loop 1298;python3.9;pycore_pystate.h:55-55,pycore_pystate.h:82-82,errors.c:93-97,errors.c:103-104,errors.c:324-325,errors.c:331-336,errors.c:343-350,errors.c:360-360,errors.c:366-371,errors.c:377-379,errors.c:385-386,errors.c:395-398,errors.c:408-408,errors.c:419-419,errors.c:434-440,abstract.h:73-74,abstract.h:114-119,abstract.h:171-171,abstract.h:185-185,string3.h:52-52,object.h:408-408,object.h:422-422,object.h:628-628;_PyErr_NormalizeException;Single;0;0;0.01;2.62;1.00;13.68;2.62;92;3.33;10.52;32.80;12.50;32.80;2.40;12.50
Loop 1273;python3.9;unicodeobject.c:1702-1702,unicodeobject.c:2729-2729,unicodeobject.c:14083-14101,object.h:408-408;unicode_fromformat_write_str;Single;0;0;0.01;1.00;1.00;15.36;3.80;1;0.00;10.18;11.40;11.40;11.40;0.74;3.00
Loop 1240;python3.9;tupleobject.c:400-400,object.c:747-747,pycore_ceval.h:83-83;tuplecontains;Single;0;0;0.01;1.00;1.00;64.00;3.20;1;0.00;7.03;3.20;3.20;3.20;0.05;1.00
Loop 1225;python3.9;descrobject.c:261-263,descrobject.c:421-421,descrobject.c:439-439,object.h:422-422,object.h:430-430;method_vectorcall_NOARGS;Single;0;0;0.01;1.00;1.00;13.22;3.47;1;0.00;10.94;5.20;5.20;5.20;0.39;1.50
Loop 1215;python3.9;pycore_pystate.h:55-55,gcmodule.c:1442-1442,gcmodule.c:2285-2287,objimpl.h:69-69,objimpl.h:84-84,object.c:1824-1824,string3.h:85-85,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-408,typeobject.c:1061-1061,typeobject.c:1068-1068,typeobject.c:3946-3946,pycore_object.h:39-39,pycore_object.h:46-51;object_new;Outermost;0;0;0.01;3.43;1.00;10.67;3.43;1;5.56;11.46;12.00;3.50;12.00;1.13;3.50
Loop 1194;python3.9;gcmodule.c:81-81,gcmodule.c:117-117,gcmodule.c:449-449,funcobject.c:619-622,typeobject.c:3764-3764,pycore_object.h:112-114;func_traverse;Outermost;0;0;0.01;1.00;1.00;22.88;1.97;1;0.00;10.49;11.80;11.80;11.80;0.52;6.00
Loop 1188;python3.9;object.c:1099-1099,object.c:1156-1160;_PyObject_GetMethod;Single;0;0;0.01;1.00;1.00;13.71;3.00;1;0.00;10.94;3.00;3.00;3.00;0.22;1.00
Loop 1187;python3.9;tupleobject.c:1004-1004,obmalloc.c:1786-1793;tupleiter_dealloc;Single;0;0;0.01;1.00;1.00;5.49;2.40;1;0.00;11.61;3.60;3.60;3.60;0.66;1.50
Loop 1171;python3.9;getargs.c:2695-2696,getargs.c:2739-2739,getargs.c:2772-2773;PyArg_UnpackTuple;Single;0;0;0.01;1.00;1.00;13.33;3.73;1;0.00;11.25;5.60;5.60;5.60;0.42;1.50
Loop 1152;python3.9;dictobject.c:344-350,dictobject.c:935-951;_PyObject_GenericGetAttrWithDict;Single;0;0;0.01;1.00;1.00;7.97;2.28;4;0.00;12.50;5.97;5.97;5.97;0.75;2.63
Loop 1151;python3.9;pycore_pystate.h:55-55,gcmodule.c:256-262,gcmodule.c:2355-2357,obmalloc.c:127-127,obmalloc.c:595-595,obmalloc.c:709-709,obmalloc.c:1420-1422,obmalloc.c:1679-1686,obmalloc.c:1692-1708,obmalloc.c:1715-1719,obmalloc.c:1738-1738,obmalloc.c:1749-1749,obmalloc.c:1756-1756,obmalloc.c:1762-1762,obmalloc.c:1768-1780,obmalloc.c:1786-1793,obmalloc.c:1807-1811,obmalloc.c:1825-1842,obmalloc.c:1865-1865,obmalloc.c:1878-1883,obmalloc.c:1897-1897,obmalloc.c:1923-1923,funcobject.c:598-598;func_dealloc;Single;0;0;0.01;3.03;1.00;7.63;3.03;1;3.23;11.90;34.80;11.50;34.80;4.56;11.50
Loop 1109;python3.9;getargs.c:225-231,getargs.c:1020-1020,getargs.c:1367-1382,getargs.c:1399-1399,getargs.c:1406-1406;convertsimple;Single;0;0;0.01;1.00;1.00;9.16;3.52;1;0.00;10.39;8.80;8.80;8.80;0.96;2.50
Loop 1034;python3.9;unicodeobject.c:2146-2154,object.h:408-408;get_latin1_char;Single;0;0;0.01;1.00;1.00;8.00;3.75;1;0.00;12.50;3.00;3.00;3.00;0.38;0.80
Loop 1012;python3.9;tupleobject.c:369-369,tupleobject.c:383-383;tuplehash;Single;0;0;0.01;1.00;1.00;64.00;2.00;1;0.00;1.56;2.00;2.00;2.00;0.03;1.00
Loop 994;python3.9;object.c:2139-2141,obmalloc.c:1786-1793,methodobject.c:176-177;meth_dealloc;Single;0;0;0.01;1.00;1.00;8.07;1.66;1;0.00;10.94;5.80;5.80;5.80;0.72;3.50
Loop 908;python3.9;listobject.c:2624-2625;list_traverse;Single;0;0;0.01;1.00;1.00;13.33;1.47;1;0.00;10.94;2.20;2.20;2.20;0.17;1.50
Loop 905;python3.9;gcmodule.c:87-87,gcmodule.c:93-93,gcmodule.c:564-565,gcmodule.c:574-587,gcmodule.c:599-603,gcmodule.c:609-614;deduce_unreachable;Single;0;0;0.01;1.17;1.00;7.30;1.40;2;3.33;12.19;4.20;3.60;4.20;0.57;3.00
Loop 868;python3.9;dictobject.c:1391-1391,dictobject.c:1411-1415,dictobject.c:1425-1426;PyDict_GetItem;Single;0;0;0.01;1.00;1.00;8.00;6.00;1;0.00;12.50;6.00;6.00;6.00;0.75;1.00
Loop 864;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,object.h:628-628,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:893-894,dictobject.c:902-902,dictobject.c:1390-1397,dictobject.c:1408-1408,dictobject.c:1411-1415,dictobject.c:1419-1420,dictobject.c:1425-1425,dictobject.c:3467-3469,dictobject.c:3472-3472;_PyDict_GetItemId;Outermost;0;0;0.01;1.00;1.00;24.40;3.01;1;0.00;11.81;25.60;25.60;25.60;1.05;8.50
Loop 853;python3.9;object.c:2128-2133;_PyTrash_begin;Single;0;0;0.01;1.00;1.00;16.00;3.00;1;0.00;9.38;3.00;3.00;3.00;0.19;1.00
Loop 846;python3.9;pycore_pystate.h:55-55,tupleobject.c:88-88,tupleobject.c:92-93,tupleobject.c:422-428,abstract.c:1989-1989,object.h:408-408,pycore_object.h:39-39,pycore_object.h:46-51;PySequence_Tuple;Outermost;0;0;0.01;4.40;1.00;7.83;4.40;1;6.67;13.33;11.00;2.50;11.00;1.40;2.50
Loop 843;python3.9;obmalloc.c:572-572,obmalloc.c:606-606,obmalloc.c:1646-1647;PyMem_Malloc;Single;0;0;0.01;1.00;1.00;8.00;4.00;1;0.00;12.50;4.00;4.00;4.00;0.50;1.00
Loop 842;python3.9;pycore_pystate.h:55-55,methodobject.c:81-81,methodobject.c:87-93,methodobject.c:107-116,object.h:408-409,object.h:487-487,pycore_object.h:39-39,pycore_object.h:46-51;PyCMethod_New;Single;0;0;0.01;4.08;1.00;5.44;4.08;1;5.26;13.16;10.20;2.50;10.20;1.88;2.50
Loop 835;python3.9;object.c:775-779,dictobject.c:1565-1574;PyDict_SetItem;Single;0;0;0.01;1.00;1.00;11.52;1.80;1;0.00;12.05;7.20;7.20;7.20;0.63;4.00
Loop 815;python3.9;obmalloc.c:1786-1793,obmalloc.c:1925-1925;_PyObject_Free;Single;0;0;0.01;1.00;1.00;5.49;2.40;1;0.00;11.61;3.60;3.60;3.60;0.66;1.50
Loop 814;python3.9;obmalloc.c:710-710,obmalloc.c:1786-1793;PyObject_Free;Single;0;0;0.01;1.00;1.00;5.49;2.40;1;0.00;11.61;3.60;3.60;3.60;0.66;1.50
Loop 806;python3.9;dictobject.c:333-333,dictobject.c:1175-1176,dictobject.c:1253-1255,dictobject.c:1289-1290,dictobject.c:1293-1293;dictresize;Outermost;0;0;0.01;3.50;1.00;12.72;4.67;1;11.11;13.19;7.00;2.00;7.00;0.55;1.50
Loop 795;python3.9;string3.h:52-52,pyhash.c:385-393;siphash24;Single;0;0;0.01;1.00;1.00;8.00;1.06;1;0.00;12.50;9.50;9.50;9.50;1.19;9.00
